"","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"91","2010","2010 (83rd)","Short Film (Live Action)","The Confession","Tanel Toom","NO","The Confession","Tanel Toom","The Confession (2010)"
"92","2010","2010 (83rd)","Short Film (Live Action)","The Crush","Michael Creagh","NO","The Crush","Michael Creagh","The Crush (2010)"
"93","2010","2010 (83rd)","Short Film (Live Action)","God of Love","Luke Matheny","YES","God of Love","Luke Matheny","God of Love (2010)"
"94","2010","2010 (83rd)","Short Film (Live Action)","Na Wewe","Ivan Goldschmidt","NO","Na Wewe","Ivan Goldschmidt","Na Wewe (2010)"
"95","2010","2010 (83rd)","Short Film (Live Action)","Wish 143","Ian Barnes and Samantha Waite","NO","Wish 143","Ian Barnes and Samantha Waite","Wish 143 (2010)"
"96","2010","2010 (83rd)","Sound","Inception","Lora Hirschberg, Gary A. Rizzo and Ed Novick","YES","Inception","Lora Hirschberg, Gary A. Rizzo and Ed Novick","Inception (2010)"
"97","2010","2010 (83rd)","Sound","The King's Speech","Paul Hamblin, Martin Jensen and John Midgley","NO","The King's Speech","Paul Hamblin, Martin Jensen and John Midgley","The King's Speech (2010)"
"98","2010","2010 (83rd)","Sound","Salt","Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin","NO","Salt","Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin","Salt (2010)"
"99","2010","2010 (83rd)","Sound","The Social Network","Ren Klyce, David Parker, Michael Semanick and Mark Weingarten","NO","The Social Network","Ren Klyce, David Parker, Michael Semanick and Mark Weingarten","The Social Network (2010)"
"100","2010","2010 (83rd)","Sound","True Grit","Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland","NO","True Grit","Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland","True Grit (2010)"
"101","2010","2010 (83rd)","Sound Editing","Inception","Richard King","YES","Inception","Richard King","Inception (2010)"
"102","2010","2010 (83rd)","Sound Editing","Toy Story 3","Tom Myers and Michael Silvers","NO","Toy Story 3","Tom Myers and Michael Silvers","Toy Story 3 (2010)"
"103","2010","2010 (83rd)","Sound Editing","Tron: Legacy","Gwendolyn Yates Whittle and Addison Teague","NO","Tron: Legacy","Gwendolyn Yates Whittle and Addison Teague","Tron: Legacy (2010)"
"104","2010","2010 (83rd)","Sound Editing","True Grit","Skip Lievsay and Craig Berkey","NO","True Grit","Skip Lievsay and Craig Berkey","True Grit (2010)"
"105","2010","2010 (83rd)","Sound Editing","Unstoppable","Mark P. Stoeckinger","NO","Unstoppable","Mark P. Stoeckinger","Unstoppable (2010)"
