"","X","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"907",907,2004,"2004 (77th)","Scientific and Technical (Gordon E. Sawyer Award)","Takuo Miyagishima","","YES",NA,NA,NA
"908",908,2004,"2004 (77th)","Scientific and Technical (Special Awards)","To Arthur Widmer for his lifetime of achievement in the science and technology of image compositing for motion pictures as exemplified by his significant contributions to the development of the Ultra Violet and the bluescreen"" compositing processes.""","","YES",NA,NA,NA
"913",913,2003,"2003 (76th)","Actor -- Leading Role","Sean Penn","Mystic River {'Jimmy Markum'}","YES","Mystic River","Sean Penn","Mystic River (2003)"
"917",917,2003,"2003 (76th)","Actor -- Supporting Role","Tim Robbins","Mystic River {'Dave Boyle'}","YES","Mystic River","Tim Robbins","Mystic River (2003)"
"922",922,2003,"2003 (76th)","Actress -- Leading Role","Charlize Theron","Monster {'Aileen Wuornos'}","YES","Monster","Charlize Theron","Monster (2003)"
"928",928,2003,"2003 (76th)","Actress -- Supporting Role","Renée Zellweger","Cold Mountain {'Ruby Thewes'}","YES","Cold Mountain","Renée Zellweger","Cold Mountain (2003)"
"930",930,2003,"2003 (76th)","Animated Feature Film","Finding Nemo","Andrew Stanton","YES","Finding Nemo","Andrew Stanton","Finding Nemo (2003)"
"934",934,2003,"2003 (76th)","Art Direction","The Lord of the Rings: The Return of the King","Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee","YES","The Lord of the Rings: The Return of the King","Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee","The Lord of the Rings: The Return of the King (2003)"
"940",940,2003,"2003 (76th)","Cinematography","Master and Commander: The Far Side of the World","Russell Boyd","YES","Master and Commander: The Far Side of the World","Russell Boyd","Master and Commander: The Far Side of the World (2003)"
"944",944,2003,"2003 (76th)","Costume Design","The Lord of the Rings: The Return of the King","Ngila Dickson and Richard Taylor","YES","The Lord of the Rings: The Return of the King","Ngila Dickson and Richard Taylor","The Lord of the Rings: The Return of the King (2003)"
"948",948,2003,"2003 (76th)","Directing","The Lord of the Rings: The Return of the King","Peter Jackson","YES","The Lord of the Rings: The Return of the King","Peter Jackson","The Lord of the Rings: The Return of the King (2003)"
"954",954,2003,"2003 (76th)","Documentary (Feature)","The Fog of War","Errol Morris and Michael Williams","YES","The Fog of War","Errol Morris and Michael Williams","The Fog of War (2003)"
"958",958,2003,"2003 (76th)","Documentary (Short Subject)","Chernobyl Heart","Maryann DeLeo","YES","Chernobyl Heart","Maryann DeLeo","Chernobyl Heart (2003)"
"962",962,2003,"2003 (76th)","Film Editing","The Lord of the Rings: The Return of the King","Jamie Selkirk","YES","The Lord of the Rings: The Return of the King","Jamie Selkirk","The Lord of the Rings: The Return of the King (2003)"
"965",965,2003,"2003 (76th)","Foreign Language Film","The Barbarian Invasions","Canada","YES","The Barbarian Invasions","Canada","The Barbarian Invasions (2003)"
"970",970,2003,"2003 (76th)","Makeup","The Lord of the Rings: The Return of the King","Richard Taylor and Peter King","YES","The Lord of the Rings: The Return of the King","Richard Taylor and Peter King","The Lord of the Rings: The Return of the King (2003)"
"977",977,2003,"2003 (76th)","Music (Scoring)","The Lord of the Rings: The Return of the King","Howard Shore","YES","The Lord of the Rings: The Return of the King","Howard Shore","The Lord of the Rings: The Return of the King (2003)"
"979",979,2003,"2003 (76th)","Music (Song)","The Lord of the Rings: The Return of the King","Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox","YES","The Lord of the Rings: The Return of the King","Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox","The Lord of the Rings: The Return of the King (2003)"
"983",983,2003,"2003 (76th)","Best Picture","The Lord of the Rings: The Return of the King","Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers","YES","The Lord of the Rings: The Return of the King","Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers","The Lord of the Rings: The Return of the King (2003)"
"991",991,2003,"2003 (76th)","Short Film (Animated)","Harvie Krumpet","Adam Elliot","YES","Harvie Krumpet","Adam Elliot","Harvie Krumpet (2003)"
"997",997,2003,"2003 (76th)","Short Film (Live Action)","Two Soldiers","Aaron Schneider and Andrew J. Sacks","YES","Two Soldiers","Aaron Schneider and Andrew J. Sacks","Two Soldiers (2003)"
"999",999,2003,"2003 (76th)","Sound","The Lord of the Rings: The Return of the King","Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek","YES","The Lord of the Rings: The Return of the King","Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek","The Lord of the Rings: The Return of the King (2003)"
"1004",1004,2003,"2003 (76th)","Sound Editing","Master and Commander: The Far Side of the World","Richard King","YES","Master and Commander: The Far Side of the World","Richard King","Master and Commander: The Far Side of the World (2003)"
"1006",1006,2003,"2003 (76th)","Visual Effects","The Lord of the Rings: The Return of the King","Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke","YES","The Lord of the Rings: The Return of the King","Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke","The Lord of the Rings: The Return of the King (2003)"
"1011",1011,2003,"2003 (76th)","Writing","The Lord of the Rings: The Return of the King","Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson","YES","The Lord of the Rings: The Return of the King","Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson","The Lord of the Rings: The Return of the King (2003)"
"1018",1018,2003,"2003 (76th)","Writing","Lost in Translation","Written by Sofia Coppola","YES","Lost in Translation","Written by Sofia Coppola","Lost in Translation (2003)"
"1019",1019,2003,"2003 (76th)","Honorary Award","To Blake Edwards in recognition of his writing, directing and producing an extraordinary body of work for the screen.","","YES",NA,NA,NA
"1020",1020,2003,"2003 (76th)","Scientific and Technical (Academy Award of Merit)","To DIGIDESIGN for the design, development and implementation of the Pro Tools® digital audio workstation. The efficient algorithms, extensible architecture and intuitive interface have enabled Pro Tools to become the worldwide standard for the creation and editing of motion picture soundtracks. [Sound]","","YES",NA,NA,NA
"1021",1021,2003,"2003 (76th)","Scientific and Technical (Academy Award of Merit)","To BILL TONDREAU of Kuper Controls for his significant advancements in the field of motion control technology for motion picture visual effects. Measuring his valuable contributions to the invention and implementation of robotic camera systems in decades rather than years, his efforts have aided motion control in becoming a core technology that has supported the renaissance of visual effects. [Systems]","","YES",NA,NA,NA
"1022",1022,2003,"2003 (76th)","Scientific and Technical (Scientific and Engineering Award)","To KINOTON GmbH for the engineering and development of the Kinoton FP 30/38 EC II Studio Projector. This high-speed studio projector produces an image quality equal to projectors with Geneva movements. With its unparalleled shuttle speed, reversibility and acceleration, this projector has set a new standard for post-production viewing as well as in traditional screening facilities. [Projection]","","YES",NA,NA,NA
"1023",1023,2003,"2003 (76th)","Scientific and Technical (Scientific and Engineering Award)","To KENNETH L. TINGLER, CHARLES C. ANDERSON, DIANE E. KESTNER and BRIAN A. SCHELL of the Eastman Kodak Company for the successful development of a process-surviving antistatic layer technology for motion picture film. This technology successfully controls the static charge buildup on processed intermediate and sound negative films during high speed printing operations. [Laboratory]","","YES",NA,NA,NA
"1024",1024,2003,"2003 (76th)","Scientific and Technical (Scientific and Engineering Award)","To CHRISTOPHER ALFRED, ANDREW J. CANNON, MICHAEL C. CARLOS, MARK CRABTREE, CHUCK GRINDSTAFF and JOHN MELANSON for their significant contributions to the evolution of digital audio editing for motion picture post production. Through their respective pioneering efforts with AMS AudioFile, Waveframe and Fairlight, the work of these gentlemen contributed significantly to the development and realization of digital audio workstations with full editing capabilities for motion picture soundtracks. [Digital Imaging Technology]","","YES",NA,NA,NA
"1026",1026,2003,"2003 (76th)","Scientific and Technical (Technical Achievement Award)","To KISH SADHVANI for the concept and optical design, PAUL DUCLOS for the practical realization and production engineering and CARL PERNICONE for the mechanical design and engineering of the portable cine viewfinder system known as the Ultimate Director's Finder (UDF). This versatile, modular and widely accepted cine viewfinder system is capable of properly displaying images in multiple formats ranging from 35mm anamorphic to super 16. [Photography]","","YES",NA,NA,NA
"1027",1027,2003,"2003 (76th)","Scientific and Technical (Technical Achievement Award)","To HENRIK WANN JENSEN, STEPHEN R. MARSCHNER and PAT HANRAHAN for their pioneering research in simulating subsurface scattering of light in translucent materials as presented in their paper A Practical Model for Subsurface Light Transport."" This mathematical model contributed substantially to the development and implementation of practical techniques for simulating subsurface scattering of light in translucent materials for computer-generated images in motion pictures. [Digital Imaging Technology]""","","YES",NA,NA,NA
"1028",1028,2003,"2003 (76th)","Scientific and Technical (Technical Achievement Award)","To CHRISTOPHE HERY, KEN McGAUGH and JOE LETTERI for their groundbreaking implementations of practical methods for rendering skin and other translucent materials using subsurface scattering techniques. These groundbreaking techniques were used to create realistic-looking skin on digitally created characters. [Digital Imaging Technology]","","YES",NA,NA,NA
"1029",1029,2003,"2003 (76th)","Scientific and Technical (Gordon E. Sawyer Award)","Peter D. Parks","","YES",NA,NA,NA
"1030",1030,2003,"2003 (76th)","Scientific and Technical (Bonner Medal)","To Douglas Greenfield in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"1031",1031,2002,"2002 (75th)","Actor -- Leading Role","Adrien Brody","The Pianist {'Wladyslaw Szpilman'}","YES","The Pianist","Adrien Brody","The Pianist (2002)"
"1036",1036,2002,"2002 (75th)","Actor -- Supporting Role","Chris Cooper","Adaptation {'John Laroche'}","YES","Adaptation","Chris Cooper","Adaptation (2002)"
"1042",1042,2002,"2002 (75th)","Actress -- Leading Role","Nicole Kidman","The Hours {'Virginia Woolf'}","YES","The Hours","Nicole Kidman","The Hours (2002)"
"1050",1050,2002,"2002 (75th)","Actress -- Supporting Role","Catherine Zeta-Jones","Chicago {'Velma Kelly'}","YES","Chicago","Catherine Zeta-Jones","Chicago (2002)"
"1054",1054,2002,"2002 (75th)","Animated Feature Film","Spirited Away","Hayao Miyazaki","YES","Spirited Away","Hayao Miyazaki","Spirited Away (2002)"
"1056",1056,2002,"2002 (75th)","Art Direction","Chicago","Art Direction: John Myhre; Set Decoration: Gordon Sim","YES","Chicago","Art Direction: John Myhre; Set Decoration: Gordon Sim","Chicago (2002)"
"1065",1065,2002,"2002 (75th)","Cinematography","Road to Perdition","Conrad L. Hall","YES","Road to Perdition","Conrad L. Hall","Road to Perdition (2002)"
"1066",1066,2002,"2002 (75th)","Costume Design","Chicago","Colleen Atwood","YES","Chicago","Colleen Atwood","Chicago (2002)"
"1074",1074,2002,"2002 (75th)","Directing","The Pianist","Roman Polanski","YES","The Pianist","Roman Polanski","The Pianist (2002)"
"1076",1076,2002,"2002 (75th)","Documentary (Feature)","Bowling for Columbine","Michael Moore, Michael Donovan","YES","Bowling for Columbine","Michael Moore, Michael Donovan","Bowling for Columbine (2002)"
"1083",1083,2002,"2002 (75th)","Documentary (Short Subject)","Twin Towers","Bill Guttentag, Robert David Port","YES","Twin Towers","Bill Guttentag, Robert David Port","Twin Towers (2002)"
"1085",1085,2002,"2002 (75th)","Film Editing","Chicago","Martin Walsh","YES","Chicago","Martin Walsh","Chicago (2002)"
"1093",1093,2002,"2002 (75th)","Foreign Language Film","Nowhere in Africa","Germany","YES","Nowhere in Africa","Germany","Nowhere in Africa (2002)"
"1095",1095,2002,"2002 (75th)","Makeup","Frida","John Jackson, Beatrice De Alba","YES","Frida","John Jackson, Beatrice De Alba","Frida (2002)"
"1099",1099,2002,"2002 (75th)","Music (Scoring)","Frida","Elliot Goldenthal","YES","Frida","Elliot Goldenthal","Frida (2002)"
"1106",1106,2002,"2002 (75th)","Music (Song)","8 Mile","Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem","YES","8 Mile","Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem","8 Mile (2002)"
"1107",1107,2002,"2002 (75th)","Best Picture","Chicago","Martin Richards, Producer","YES","Chicago","Martin Richards, Producer","Chicago (2002)"
"1113",1113,2002,"2002 (75th)","Short Film (Animated)","The ChubbChubbs!","Eric Armstrong","YES","The ChubbChubbs!","Eric Armstrong","The ChubbChubbs! (2002)"
"1121",1121,2002,"2002 (75th)","Short Film (Live Action)","This Charming Man (Der Er En Yndig Mand)","Martin Strange-Hansen, Mie Andreasen","YES","This Charming Man (Der Er En Yndig Mand)","Martin Strange-Hansen, Mie Andreasen","This Charming Man (Der Er En Yndig Mand) (2002)"
"1122",1122,2002,"2002 (75th)","Sound","Chicago","Michael Minkler, Dominick Tavella, David Lee","YES","Chicago","Michael Minkler, Dominick Tavella, David Lee","Chicago (2002)"
"1127",1127,2002,"2002 (75th)","Sound Editing","The Lord of the Rings: The Two Towers","Ethan Van der Ryn, Michael Hopkins","YES","The Lord of the Rings: The Two Towers","Ethan Van der Ryn, Michael Hopkins","The Lord of the Rings: The Two Towers (2002)"
"1130",1130,2002,"2002 (75th)","Visual Effects","The Lord of the Rings: The Two Towers","Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke","YES","The Lord of the Rings: The Two Towers","Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke","The Lord of the Rings: The Two Towers (2002)"
"1137",1137,2002,"2002 (75th)","Writing","The Pianist","Screenplay by Ronald Harwood","YES","The Pianist","Screenplay by Ronald Harwood","The Pianist (2002)"
"1141",1141,2002,"2002 (75th)","Writing","Talk to Her","Written by Pedro Almodóvar","YES","Talk to Her","Written by Pedro Almodóvar","Talk to Her (2002)"
"1143",1143,2002,"2002 (75th)","Honorary Award","To Peter O'Toole, whose remarkable talents have provided cinema history with some of its most memorable characters.","","YES",NA,NA,NA
"1144",1144,2002,"2002 (75th)","Scientific and Technical (Academy Award of Merit)","To ALIAS/WAVEFRONT for the development of a 3D animation, dynamics, modeling and rendering production tool known as Maya. With its significant and dominant impact on the motion picture industry, the Maya software package offers a robust and widely used commercial visual effects tool with a rich infrastructure for extension and customization. [Digital Imaging Technology]","","YES",NA,NA,NA
"1145",1145,2002,"2002 (75th)","Scientific and Technical (Academy Award of Merit)","To ARNOLD & RICHTER CINE TECHNIK and PANAVISION INC., for their continuing development and innovation in the design and manufacturing of advanced camera systems specifically designed for the motion picture entertainment industry. With a commitment that lies beyond the usual commercial considerations, these two manufacturers continue to lead the industry in developing and introducing products that have defined the state of the art in motion picture camera technology. [Camera]","","YES",NA,NA,NA
"1146",1146,2002,"2002 (75th)","Scientific and Technical (Scientific and Engineering Award)","To GLENN SANDERS and HOWARD STARK of Zaxcom for the concept, design and engineering of the portable Deva Digital Audio Disk Recorder. This innovative design employs advanced hard disk recording technology and digital audio techniques for use in both production and post-production recording applications. [Sound]","","YES",NA,NA,NA
"1147",1147,2002,"2002 (75th)","Scientific and Technical (Scientific and Engineering Award)","To MARK ELENDT, PAUL H. BRESLIN, GREG HERMANOVIC and KIM DAVIDSON for their continued development of the procedural modeling and animation components of their Prisms program, as exemplified in the Houdini software package. Through a procedural building-block process, the Houdini software is used to simulate natural phenomena using particle effects and complex three-dimensional models. [Digital Imaging Technology]","","YES",NA,NA,NA
"1148",1148,2002,"2002 (75th)","Scientific and Technical (Scientific and Engineering Award)","To DR. LESLIE GUTIERREZ, DIANE E. KESTNER, JAMES MERRILL and DAVID NIKLEWICZ for the design and development of the Kodak Vision Premier Color Print Film, 2393. This film stock provides filmmakers with enhanced color saturation, higher contrast and darker blacks, producing a bold, colorful 'look' on the theater screen. [Film]","","YES",NA,NA,NA
"1149",1149,2002,"2002 (75th)","Scientific and Technical (Scientific and Engineering Award)","To DEDO WEIGERT for the concept, DR. DEPU JIN for the optical calculations, and FRANZ PETTERS for the mechanical construction of the Dedolight 400D. This uniquely designed set light provides superior performance, reliability and ease of use. Combined with its excellent array of accessories, the Dedolight 400D is an outstanding engineering achievement. [Lighting]","","YES",NA,NA,NA
"1150",1150,2002,"2002 (75th)","Scientific and Technical (Technical Achievement Award)","To DICK WALSH for the development of the PDI/DreamWorks Facial Animation System. This effective software simulation system is used to create and control natural, expressive, highly-nuanced facial animation on a wide range of computer-generated characters. [Digital Imaging Technology]","","YES",NA,NA,NA
"1151",1151,2002,"2002 (75th)","Scientific and Technical (Technical Achievement Award)","To THOMAS DRIEMEYER and to the TEAM OF MATHEMATICIANS, PHYSICISTS AND SOFTWARE ENGINEERS OF MENTAL IMAGES for their contributions to the Mental Ray rendering software for motion pictures. Mental Ray is a highly programmable computer-graphics renderer incorporating ray tracing and global illumination to realistically simulate the behavior of light in computer-generated imagery. [Digital Imaging Technology]","","YES",NA,NA,NA
"1152",1152,2002,"2002 (75th)","Scientific and Technical (Technical Achievement Award)","To ERIC DANIELS, GEORGE KATANICS, TASSO LAPPAS and CHRIS SPRINGFIELD for the development of the Deep Canvas rendering software. The Deep Canvas software program captures the orginal brush strokes of the traditional background artist to render elements in three dimensions for animated films. [Digital Imaging Technology]","","YES",NA,NA,NA
"1153",1153,2002,"2002 (75th)","Scientific and Technical (Technical Achievement Award)","To JIM SONGER for his contributions to the technical development of video-assist in the motion picture industry. The work of Jim Songer from 1968 through 1973 led directly to the more widespread acceptance of video-assist in the motion picture industry. [Systems]","","YES",NA,NA,NA
"1154",1154,2002,"2002 (75th)","Scientific and Technical (Technical Achievement Award)","To PIERRE CHABERT of Airstar for the introduction of balloons with internal light sources to provide set lighting for the motion picture industry. These helium-filled balloons with internal arrangements for tungsten halogen and HMI light sources, are usable indoors or out, quick to set up, require essentially no rigging and provide a soft light that can cover a very large area. [Lighting]","","YES",NA,NA,NA
"1155",1155,2002,"2002 (75th)","Scientific and Technical (Technical Achievement Award)","To RAWDON HAYNE and ROBERT W. JEFFS of Leelium Tubelites for their contributions to the development of internally lit balloons for motion picture lighting. These helium-filled balloons with internal arrangements for tungsten halogen and HMI light sources, are usable indoors or out, quick to set up, require essentially no rigging and provide a soft light that can cover a very large area. [Lighting]","","YES",NA,NA,NA
"1156",1156,2002,"2002 (75th)","Scientific and Technical (Bonner Medal)","To Curt R. Behlmer in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"1157",1157,2002,"2002 (75th)","Scientific and Technical (Bonner Medal)","To Richard B. Glickman in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"1161",1161,2001,"2001 (74th)","Actor -- Leading Role","Denzel Washington","Training Day {'Alonzo'}","YES","Training Day","Denzel Washington","Training Day (2001)"
"1163",1163,2001,"2001 (74th)","Actor -- Supporting Role","Jim Broadbent","Iris {'John Bayley'}","YES","Iris","Jim Broadbent","Iris (2001)"
"1168",1168,2001,"2001 (74th)","Actress -- Leading Role","Halle Berry","Monster's Ball {'Leticia Musgrove'}","YES","Monster's Ball","Halle Berry","Monster's Ball (2001)"
"1173",1173,2001,"2001 (74th)","Actress -- Supporting Role","Jennifer Connelly","A Beautiful Mind {'Alicia Nash'}","YES","A Beautiful Mind","Jennifer Connelly","A Beautiful Mind (2001)"
"1180",1180,2001,"2001 (74th)","Animated Feature Film","Shrek","Aron Warner","YES","Shrek","Aron Warner","Shrek (2001)"
"1185",1185,2001,"2001 (74th)","Art Direction","Moulin Rouge","Art Direction: Catherine Martin; Set Decoration: Brigitte Broch","YES","Moulin Rouge","Art Direction: Catherine Martin; Set Decoration: Brigitte Broch","Moulin Rouge (2001)"
"1188",1188,2001,"2001 (74th)","Cinematography","The Lord of the Rings: The Fellowship of the Ring","Andrew Lesnie","YES","The Lord of the Rings: The Fellowship of the Ring","Andrew Lesnie","The Lord of the Rings: The Fellowship of the Ring (2001)"
"1195",1195,2001,"2001 (74th)","Costume Design","Moulin Rouge","Catherine Martin, Angus Strathie","YES","Moulin Rouge","Catherine Martin, Angus Strathie","Moulin Rouge (2001)"
"1196",1196,2001,"2001 (74th)","Directing","A Beautiful Mind","Ron Howard","YES","A Beautiful Mind","Ron Howard","A Beautiful Mind (2001)"
"1203",1203,2001,"2001 (74th)","Documentary (Feature)","Murder on a Sunday Morning","Jean-Xavier de Lestrade, Denis Poncet","YES","Murder on a Sunday Morning","Jean-Xavier de Lestrade, Denis Poncet","Murder on a Sunday Morning (2001)"
"1208",1208,2001,"2001 (74th)","Documentary (Short Subject)","Thoth","Sarah Kernochan, Lynn Appelle","YES","Thoth","Sarah Kernochan, Lynn Appelle","Thoth (2001)"
"1210",1210,2001,"2001 (74th)","Film Editing","Black Hawk Down","Pietro Scalia","YES","Black Hawk Down","Pietro Scalia","Black Hawk Down (2001)"
"1217",1217,2001,"2001 (74th)","Foreign Language Film","No Man's Land","Bosnia & Herzegovina","YES","No Man's Land","Bosnia & Herzegovina","No Man's Land (2001)"
"1220",1220,2001,"2001 (74th)","Makeup","The Lord of the Rings: The Fellowship of the Ring","Peter Owen, Richard Taylor","YES","The Lord of the Rings: The Fellowship of the Ring","Peter Owen, Richard Taylor","The Lord of the Rings: The Fellowship of the Ring (2001)"
"1225",1225,2001,"2001 (74th)","Music (Scoring)","The Lord of the Rings: The Fellowship of the Ring","Howard Shore","YES","The Lord of the Rings: The Fellowship of the Ring","Howard Shore","The Lord of the Rings: The Fellowship of the Ring (2001)"
"1227",1227,2001,"2001 (74th)","Music (Song)","Monsters, Inc.","Music and Lyric by Randy Newman","YES","Monsters, Inc.","Music and Lyric by Randy Newman","Monsters, Inc. (2001)"
"1232",1232,2001,"2001 (74th)","Best Picture","A Beautiful Mind","Brian Grazer and Ron Howard, Producers","YES","A Beautiful Mind","Brian Grazer and Ron Howard, Producers","A Beautiful Mind (2001)"
"1238",1238,2001,"2001 (74th)","Short Film (Animated)","For the Birds","Ralph Eggleston","YES","For the Birds","Ralph Eggleston","For the Birds (2001)"
"1242",1242,2001,"2001 (74th)","Short Film (Live Action)","the accountant","Ray McKinnon, Lisa Blount","YES","the accountant","Ray McKinnon, Lisa Blount","the accountant (2001)"
"1248",1248,2001,"2001 (74th)","Sound","Black Hawk Down","Michael Minkler, Myron Nettinga, Chris Munro","YES","Black Hawk Down","Michael Minkler, Myron Nettinga, Chris Munro","Black Hawk Down (2001)"
"1253",1253,2001,"2001 (74th)","Sound Editing","Pearl Harbor","George Watters II, Christopher Boyes","YES","Pearl Harbor","George Watters II, Christopher Boyes","Pearl Harbor (2001)"
"1255",1255,2001,"2001 (74th)","Visual Effects","The Lord of the Rings: The Fellowship of the Ring","Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson","YES","The Lord of the Rings: The Fellowship of the Ring","Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson","The Lord of the Rings: The Fellowship of the Ring (2001)"
"1257",1257,2001,"2001 (74th)","Writing","A Beautiful Mind","Written by Akiva Goldsman","YES","A Beautiful Mind","Written by Akiva Goldsman","A Beautiful Mind (2001)"
"1263",1263,2001,"2001 (74th)","Writing","Gosford Park","Written by Julian Fellowes","YES","Gosford Park","Written by Julian Fellowes","Gosford Park (2001)"
"1267",1267,2001,"2001 (74th)","Honorary Award","To Sidney Poitier in recognition of his remarkable accomplishments as an artist and as a human being.","","YES",NA,NA,NA
"1268",1268,2001,"2001 (74th)","Honorary Award","To Robert Redford: Actor, director, producer, creator of Sundance, inspiration to independent and innovative filmmakers everywhere.","","YES",NA,NA,NA
"1269",1269,2001,"2001 (74th)","Jean Hersholt Humanitarian Award","Arthur Hiller","","YES",NA,NA,NA
"1271",1271,2001,"2001 (74th)","Scientific and Technical (Scientific and Engineering Award)","To IAIN NEIL for the concept and optical design and AL SAIKI for the mechanical design of the Panavision Primo Macro Zoom Lens (PMZ). This compact, wide-angle, macro focus lens enhances and expands the picture-capturing ability, both technically and artistically, of the cinematographer. It is the first cine lens that allows macro photography while still being able to zoom. [Lenses and Filters]","","YES",NA,NA,NA
"1272",1272,2001,"2001 (74th)","Scientific and Technical (Scientific and Engineering Award)","To FRANZ KRAUS, JOHANNES STEURER and WOLFGANG RIEDEL for the design and development of the ARRILASER Film Recorder. The ARRILASER film recorder demonstrates a high level of engineering resulting in a compact, user-friendly, low-maintenance device while at the same time maintaining outstanding speed, exposure ratings and image quality. [Special Photographic]","","YES",NA,NA,NA
"1273",1273,2001,"2001 (74th)","Scientific and Technical (Scientific and Engineering Award)","To PETER KURAN for the invention, and SEAN COUGHLIN, JOSEPH A. OLIVIER and WILLIAM CONNER for the engineering and development of the RCI-Color Film Restoration Process. This photo-chemical process restores color to faded color negative using off-the-shelf film stocks with a unique approach. The resulting film intermediate can be used to create a new internegative. [Laboratory]","","YES",NA,NA,NA
"1274",1274,2001,"2001 (74th)","Scientific and Technical (Scientific and Engineering Award)","To MAKOTO TSUKADA, SHOJI KANEKO and the TECHNICAL STAFF OF IMAGICA CORPORATION, and DAIJIRO FUJIE of Nikon Corporation for the engineering excellence and the impact on the motion picture industry of the Imagica 65/35 Multi-Format Optical Printer. This liquid-gate optical printer offers ease of set-up and change-over to various formats from 35mm to 65mm 15-perf with both additive and subtractive lamp houses. [Special Photographic]","","YES",NA,NA,NA
"1275",1275,2001,"2001 (74th)","Scientific and Technical (Scientific and Engineering Award)","To STEVEN GERLACH, GREGORY FARRELL and CHRISTIAN LURIN for the design, engineering and implementation of the Kodak Panchromatic Sound Recording Film. Allowing all four soundtrack systems to be exposed on a single negative with relative ease, this stock has allowed single inventory prints, facilitating the more economic distribution of motion pictures. [Sound]","","YES",NA,NA,NA
"1276",1276,2001,"2001 (74th)","Scientific and Technical (Scientific and Engineering Award)","To PAUL J. CONSTANTINE and PETER M. CONSTANTINE for the design and development of the CELCO Digital Film Recorder products. CELCO recorder products have had a significant impact on the industry through continual improvements in their technology. [Special Photographic]","","YES",NA,NA,NA
"1277",1277,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To PETE ROMANO for the design and development of the Remote AquaCam, an underwater camera housing system for use in motion pictures. The Remote AquaCam brings to the industry an underwater camera housing specifically designed for remote and high-speed operation. Its hydro-dynamic shape facilitates ease of operation for surface hand-held filming, and its remote capabilities allow it to film in confined areas or in situations where an operator cannot be near the camera. [Photography]","","YES",NA,NA,NA
"1278",1278,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To JORDAN KLEIN for his pioneering efforts in the development and application of underwater camera housings for motion pictures. With over 50 years of involvement in the design and development of underwater camera housings, Jordan Klein's work has had significant influence in the field of underwater photography. [Photography]","","YES",NA,NA,NA
"1279",1279,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To BERNARD M. WERNER and WILLIAM GELOW for the engineering and design of filtered line arrays and screen speading compensation as applied to motion picture loudspeaker systems. Employing both tapered line array and filtered line array technologies and unique passive and active filter networks, their work with cinema loudspeakers was both innovative and dedicated specifically to cinema applications. [Sound]","","YES",NA,NA,NA
"1280",1280,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To TOMLINSON HOLMAN for the research and systems integration resulting in the improvement of motion picture loudspeaker systems. For over 20 years Tomlinson Holman has been involved in the research and integration of the constant-directivity, direct radiator bass type of cinema loudspeaker systems. [Sound]","","YES",NA,NA,NA
"1281",1281,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To GEOFF JACKSON and ROGER WOODBURN for their DMS 120S Camera Motor. This well-engineered camera motor features built-in time-lapse programmability and is useful in an unusually wide range of applications, including MOS production filming, high-speed photography, animation and motion control. [Camera]","","YES",NA,NA,NA
"1282",1282,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To THOMAS MAJOR BARRON for the overall concept and design; CHAS SMITH for the structural engineering; and GORDON SEITZ for the mechanical engineering of the Bulldog Motion Control Camera Crane. This motion control camera crane represents an unprecedented combination of long reach, high speed, and a novel approach to its transport, which allows a very rapid setup on location. [Camera Cranes]","","YES",NA,NA,NA
"1283",1283,2001,"2001 (74th)","Scientific and Technical (Technical Achievement Award)","To JOHN R. ANDERSON, JIM HOURIHAN, CARY PHILLIPS and SEBASTIAN MARINO for the development of the ILM Creature Dynamics System. This system makes hair, clothing, skin, flesh and muscle simulation both directable and integrated within a character animation and rigging environment. [Digital Imaging Technology]","","YES",NA,NA,NA
